,Company,Industry,Country,Market_Value,Sales,Profits,Assets,Rank,DBpedia_URI,Market_Value_class,Sales_class,Profits_class,Assets_class,Rank_class
30,Westfield_Group,Real_Estate,Australia,25.4,2.5,1.8,35.3,630,http://dbpedia.org/resource/Westfield_Group,mid,low,mid,mid,low
31,Westpac_Banking_Group,Major_Banks,Australia,98.9,43.9,6.2,699.6,48,http://dbpedia.org/resource/Westpac_Banking_Group,high,high,high,high,low
32,Woodside_Petroleum,Oil_&_Gas_Operations,Australia,31.9,6.4,3.0,23.9,483,http://dbpedia.org/resource/Woodside_Petroleum,mid,low,high,mid,low
33,Woolworths,Food_Retail,Australia,46.3,56.4,1.9,21.5,271,http://dbpedia.org/resource/Woolworths,high,high,mid,mid,low
34,WorleyParsons,Construction_Services,Australia,6.6,7.6,0.4,4.4,1468,http://dbpedia.org/resource/WorleyParsons,low,low,mid,mid,high
35,Andritz,Other_Industrial_Equipment,Austria,7.4,6.7,0.3,6.8,1558,http://dbpedia.org/resource/Andritz,low,low,mid,mid,high
36,Erste_Group_Bank,Major_Banks,Austria,12.3,15.5,-0.9,271.7,672,http://dbpedia.org/resource/Erste_Group_Bank,mid,mid,low,high,low
37,OMV_Group,Oil_&_Gas_Operations,Austria,14.7,56.3,1.8,39.8,304,http://dbpedia.org/resource/OMV_Group,mid,high,mid,mid,low
38,Raiffeisen_Bank_International,Major_Banks,Austria,7.6,13.9,1.3,190.5,455,http://dbpedia.org/resource/Raiffeisen_Bank_International,low,mid,mid,high,low
39,Strabag,Construction_Services,Austria,2.4,17.8,0.3,13.3,1369,http://dbpedia.org/resource/Strabag,low,mid,mid,mid,high
40,Verbund,Electric_Utilities,Austria,7.4,4.1,0.5,16.3,1229,http://dbpedia.org/resource/Verbund,low,low,mid,mid,high
41,Vienna_Insurance_Group,Diversified_Insurance,Austria,6.6,12.4,0.5,50.0,723,http://dbpedia.org/resource/Vienna_Insurance_Group,low,mid,mid,mid,low
42,Voestalpine,Iron_&_Steel,Austria,5.8,16.1,0.4,16.3,920,http://dbpedia.org/resource/Voestalpine,low,mid,mid,mid,mid
43,Volksbank,Regional_Banks,Austria,0.5,2.2,-1.2,53.3,1697,http://dbpedia.org/resource/Volksbank,low,low,low,mid,high
44,Ageas,Diversified_Insurance,Belgium,8.5,20.6,1.0,128.0,424,http://dbpedia.org/resource/Ageas,low,mid,mid,mid,low
45,Anheuser-Busch_InBev,Beverages,Belgium,153.5,39.8,7.2,122.6,76,http://dbpedia.org/resource/Anheuser-Busch_InBev,high,high,high,mid,low
46,Belgacom,Telecommunications_services,Belgium,8.9,8.5,0.9,10.7,887,http://dbpedia.org/resource/Belgacom,low,low,mid,mid,mid
47,Colruyt,Food_Retail,Belgium,8.2,10.5,0.5,4.2,1133,http://dbpedia.org/resource/Colruyt,low,mid,mid,mid,high
48,Delhaize_Group,Food_Retail,Belgium,5.5,29.2,0.1,15.8,1114,http://dbpedia.org/resource/Delhaize_Group,low,mid,low,mid,mid
49,Dexia,Major_Banks,Belgium,0.1,26.6,-16.2,534.9,883,http://dbpedia.org/resource/Dexia,low,mid,low,high,mid
50,KBC_Group,Major_Banks,Belgium,16.3,21.7,0.8,338.7,323,http://dbpedia.org/resource/KBC_Group,mid,mid,mid,high,low
51,Solvay,Diversified_Chemicals,Belgium,12.5,16.4,0.8,23.4,564,http://dbpedia.org/resource/Solvay,mid,mid,mid,mid,low
52,UCB,Pharmaceuticals,Belgium,11.7,4.0,0.3,11.7,1375,http://dbpedia.org/resource/UCB,mid,low,mid,mid,high
53,Umicore,Diversified_Metals_&_Mining,Belgium,5.9,16.6,0.3,4.7,1341,http://dbpedia.org/resource/Umicore,low,mid,mid,mid,high
54,Bunge,Food_Processing,Bermuda,11.1,61.0,0.1,24.1,755,http://dbpedia.org/resource/Bunge,mid,high,low,mid,mid
55,Catlin_Group,Property_&_Casualty_Insurance,Bermuda,2.8,3.8,0.3,14.0,1947,http://dbpedia.org/resource/Catlin_Group,low,low,mid,mid,high
56,Invesco,Investment_Services,Bermuda,12.8,4.2,0.7,17.5,942,http://dbpedia.org/resource/Invesco,mid,low,mid,mid,mid
57,Nabors_Industries,Oil_Services_&_Equipment,Bermuda,5.0,6.8,0.2,12.7,1722,http://dbpedia.org/resource/Nabors_Industries,low,low,mid,mid,high
58,Seadrill,Oil_Services_&_Equipment,Bermuda,17.6,4.5,1.1,19.6,756,http://dbpedia.org/resource/Seadrill,mid,low,mid,mid,mid
59,Banco_Bradesco,Regional_Banks,Brazil,71.6,78.3,5.6,417.5,45,http://dbpedia.org/resource/Banco_Bradesco,high,high,high,high,low
60,Banrisul,Regional_Banks,Brazil,3.6,3.6,0.4,22.3,1574,http://dbpedia.org/resource/Banrisul,low,low,mid,mid,high
61,BM&F_Bovespa,Investment_Services,Brazil,13.4,1.0,0.5,11.7,1158,http://dbpedia.org/resource/BM&F_Bovespa,mid,low,mid,mid,high
62,BR_Malls,Real_Estate,Brazil,5.8,0.6,0.9,8.7,1520,http://dbpedia.org/resource/BR_Malls,low,low,mid,mid,high
63,Braskem,Specialized_Chemicals,Brazil,5.0,17.3,-0.4,19.6,1156,http://dbpedia.org/resource/Braskem,low,mid,low,mid,high
64,BRF-Brasil_Foods,Food_Processing,Brazil,19.2,13.9,0.4,14.7,734,http://dbpedia.org/resource/BRF-Brasil_Foods,mid,mid,mid,mid,low
65,CCR,Other_Transportation,Brazil,17.3,3.0,0.6,7.0,1234,http://dbpedia.org/resource/CCR,mid,low,mid,mid,high
66,Cemig,Electric_Utilities,Brazil,10.7,9.5,2.2,19.4,597,http://dbpedia.org/resource/Cemig,mid,mid,mid,mid,low
67,Cielo,Business_&_Personal_Services,Brazil,18.9,2.6,1.1,4.7,1075,http://dbpedia.org/resource/Cielo,mid,low,mid,mid,mid
68,Cosan,Food_Processing,Brazil,5.5,14.1,0.3,12.2,1211,http://dbpedia.org/resource/Cosan,low,mid,mid,mid,high
69,CPFL_Energia,Electric_Utilities,Brazil,10.4,7.7,0.6,15.2,836,http://dbpedia.org/resource/CPFL_Energia,mid,low,mid,mid,mid
70,CSN,Iron_&_Steel,Brazil,7.2,8.9,2.0,24.2,671,http://dbpedia.org/resource/CSN,low,low,mid,mid,low
71,Embraer,Aerospace_&_Defense,Brazil,6.3,6.2,0.3,9.5,1517,http://dbpedia.org/resource/Embraer,low,low,mid,mid,high
72,Itaú_Unibanco,Major_Banks,Brazil,82.0,70.5,6.2,453.6,42,http://dbpedia.org/resource/Itaú_Unibanco,high,high,high,high,low
73,JBS,Food_Processing,Brazil,10.4,38.9,0.4,24.3,656,http://dbpedia.org/resource/JBS,mid,high,mid,mid,low
74,Klabin,Containers_&_Packaging,Brazil,6.5,2.0,0.4,6.9,1989,http://dbpedia.org/resource/Klabin,low,low,mid,mid,high
75,Lojas_Americanas,Discount_Stores,Brazil,8.9,5.5,0.2,5.3,1811,http://dbpedia.org/resource/Lojas_Americanas,low,low,mid,mid,high
76,Marfrig_Group,Food_Processing,Brazil,2.5,12.3,-0.1,12.0,1586,http://dbpedia.org/resource/Marfrig_Group,low,mid,low,mid,high
77,Metalurgica_Gerdau,Iron_&_Steel,Brazil,3.8,18.5,0.2,25.0,1173,http://dbpedia.org/resource/Metalurgica_Gerdau,low,mid,mid,mid,high
78,Oi,Telecommunications_services,Brazil,6.1,12.3,0.4,38.0,819,http://dbpedia.org/resource/Oi,low,mid,mid,mid,mid
79,Petrobras,Oil_&_Gas_Operations,Brazil,120.7,144.1,11.0,331.6,20,http://dbpedia.org/resource/Petrobras,high,high,high,high,low
80,Porto_Seguro,Diversified_Insurance,Brazil,4.4,6.1,0.3,8.8,1908,http://dbpedia.org/resource/Porto_Seguro,low,low,mid,mid,high
81,Sabesp,Diversified_Utilities,Brazil,10.5,5.5,1.0,12.8,910,http://dbpedia.org/resource/Sabesp,mid,low,mid,mid,mid
82,Usiminas,Iron_&_Steel,Brazil,5.3,6.2,-0.3,15.3,1627,http://dbpedia.org/resource/Usiminas,low,low,low,mid,high
83,Vale,Iron_&_Steel,Brazil,92.7,45.7,4.8,130.4,87,http://dbpedia.org/resource/Vale,high,high,high,mid,low
84,WEG,Electrical_Equipment,Brazil,8.1,3.0,0.3,4.3,1914,http://dbpedia.org/resource/WEG,low,low,mid,mid,high
85,Agrium,Specialized_Chemicals,Canada,15.3,16.7,1.5,16.0,509,http://dbpedia.org/resource/Agrium,mid,mid,mid,mid,low
86,Air_Canada,Airline,Canada,0.7,12.2,0.1,9.1,1802,http://dbpedia.org/resource/Air_Canada,low,mid,low,mid,high
87,Atco,Electric_Utilities,Canada,5.0,4.4,0.4,14.4,1609,http://dbpedia.org/resource/Atco,low,low,mid,mid,high
88,Bank_of_Montreal,Major_Banks,Canada,41.0,20.9,4.1,542.9,131,http://dbpedia.org/resource/Bank_of_Montreal,high,mid,high,high,low
89,Bank_of_Nova_Scotia,Major_Banks,Canada,70.6,27.6,6.4,737.2,84,http://dbpedia.org/resource/Bank_of_Nova_Scotia,high,mid,high,high,low
90,Barrick_Gold,Diversified_Metals_&_Mining,Canada,28.7,14.5,-0.7,47.3,659,http://dbpedia.org/resource/Barrick_Gold,mid,mid,low,mid,low
91,BCE,Telecommunications_services,Canada,35.6,20.0,2.8,41.2,240,http://dbpedia.org/resource/BCE,high,mid,high,mid,low
92,Bombardier,Aerospace_&_Defense,Canada,7.3,16.8,0.6,25.8,697,http://dbpedia.org/resource/Bombardier,low,mid,mid,mid,low
93,Brookfield_Asset_Management,Real_Estate,Canada,23.0,18.6,1.4,108.6,266,http://dbpedia.org/resource/Brookfield_Asset_Management,mid,mid,mid,mid,low
94,Canadian_Imperial_Bank,Major_Banks,Canada,32.3,17.1,3.3,393.2,161,http://dbpedia.org/resource/Canadian_Imperial_Bank,mid,mid,high,high,low
95,Canadian_National_Railway,Railroads,Canada,42.7,10.0,2.7,26.8,374,http://dbpedia.org/resource/Canadian_National_Railway,high,mid,high,mid,low
96,Canadian_Natural_Resources,Oil_&_Gas_Operations,Canada,36.0,14.7,1.9,49.2,288,http://dbpedia.org/resource/Canadian_Natural_Resources,high,mid,mid,mid,low
97,Canadian_Oil_Sands,Oil_&_Gas_Operations,Canada,10.2,3.7,1.0,10.2,1130,http://dbpedia.org/resource/Canadian_Oil_Sands,mid,low,mid,mid,high
98,Canadian_Pacific_Railway,Railroads,Canada,22.1,5.7,0.5,14.8,855,http://dbpedia.org/resource/Canadian_Pacific_Railway,mid,low,mid,mid,mid
99,Canadian_Tire,Specialty_Stores,Canada,5.6,11.5,0.5,13.2,1027,http://dbpedia.org/resource/Canadian_Tire,low,mid,mid,mid,mid
100,Cenovus_Energy,Oil_&_Gas_Operations,Canada,24.4,16.9,1.0,24.3,427,http://dbpedia.org/resource/Cenovus_Energy,mid,mid,mid,mid,low
101,CGI_Group,Computer_Services,Canada,8.0,6.3,0.0,10.8,1543,http://dbpedia.org/resource/CGI_Group,low,low,low,mid,high
102,Crescent_Point_Energy,Oil_&_Gas_Operations,Canada,14.4,2.0,0.2,12.2,1532,http://dbpedia.org/resource/Crescent_Point_Energy,mid,low,mid,mid,high
103,Empire,Food_Retail,Canada,4.2,17.4,0.4,7.0,1425,http://dbpedia.org/resource/Empire,low,mid,mid,mid,high
104,Enbridge,Oil_Services_&_Equipment,Canada,36.9,25.4,0.7,47.4,328,http://dbpedia.org/resource/Enbridge,high,mid,mid,mid,low
105,EnCana,Oil_&_Gas_Operations,Canada,15.0,5.2,-2.8,18.7,1166,http://dbpedia.org/resource/EnCana,mid,low,low,mid,high
106,Fairfax_Financial,Property_&_Casualty_Insurance,Canada,8.2,8.0,0.5,36.9,775,http://dbpedia.org/resource/Fairfax_Financial,low,low,mid,mid,mid
107,Finning_International,Other_Industrial_Equipment,Canada,4.3,6.7,0.3,5.1,1952,http://dbpedia.org/resource/Finning_International,low,low,mid,mid,high
108,First_Quantum_Minerals,Diversified_Metals_&_Mining,Canada,10.2,3.0,1.8,7.5,1159,http://dbpedia.org/resource/First_Quantum_Minerals,mid,low,mid,mid,high
109,George_Weston,Food_Retail,Canada,9.1,32.8,0.5,21.9,646,http://dbpedia.org/resource/George_Weston,low,mid,mid,mid,low
110,Goldcorp,Diversified_Metals_&_Mining,Canada,26.4,5.4,1.7,31.2,559,http://dbpedia.org/resource/Goldcorp,mid,low,mid,mid,low
111,Husky_Energy,Oil_&_Gas_Operations,Canada,29.0,22.5,2.0,35.3,289,http://dbpedia.org/resource/Husky_Energy,mid,mid,mid,mid,low
112,Intact_Financial,Property_&_Casualty_Insurance,Canada,8.4,7.2,0.6,19.9,865,http://dbpedia.org/resource/Intact_Financial,low,low,mid,mid,mid
113,Kinross_Gold,Diversified_Metals_&_Mining,Canada,9.1,4.3,-2.5,14.9,1551,http://dbpedia.org/resource/Kinross_Gold,low,low,low,mid,high
114,Laurentian_Bank,Regional_Banks,Canada,1.2,1.5,0.1,34.3,1839,http://dbpedia.org/resource/Laurentian_Bank,low,low,low,mid,high
115,Lululemon_Athletica,Apparel/Footwear_Retail,Canada,10.0,1.4,0.3,1.1,1937,http://dbpedia.org/resource/Lululemon_Athletica,mid,low,mid,mid,high
116,Magna_International,Auto_&_Truck_Parts,Canada,13.2,30.8,1.4,17.1,465,http://dbpedia.org/resource/Magna_International,mid,mid,mid,mid,low
117,Manulife_Financial,Life_&_Health_Insurance,Canada,27.8,37.3,1.6,488.2,156,http://dbpedia.org/resource/Manulife_Financial,mid,high,mid,high,low
118,Metro_Inc,Food_Retail,Canada,6.0,12.1,0.5,5.2,1208,http://dbpedia.org/resource/Metro_Inc,low,mid,mid,mid,high
119,National_Bank_of_Canada,Major_Banks,Canada,12.3,7.1,1.6,184.0,464,http://dbpedia.org/resource/National_Bank_of_Canada,mid,low,mid,high,low
120,Onex,Investment_Services,Canada,5.3,27.4,-0.1,36.3,948,http://dbpedia.org/resource/Onex,low,mid,low,mid,mid
121,Pacific_Rubiales_Energy,Oil_&_Gas_Operations,Canada,7.1,3.9,0.5,7.1,1641,http://dbpedia.org/resource/Pacific_Rubiales_Energy,low,low,mid,mid,high
122,Power_Corp_of_Canada,Life_&_Health_Insurance,Canada,12.4,34.2,1.1,272.8,299,http://dbpedia.org/resource/Power_Corp_of_Canada,mid,high,mid,high,low
123,Research_In_Motion,Communications_Equipment,Canada,7.9,11.1,-0.6,13.2,1226,http://dbpedia.org/resource/Research_In_Motion,low,mid,low,mid,high
124,Rogers_Communications,Telecommunications_services,Canada,25.3,12.5,1.7,19.7,448,http://dbpedia.org/resource/Rogers_Communications,mid,mid,mid,mid,low
125,Royal_Bank_of_Canada,Major_Banks,Canada,87.2,38.3,7.7,838.5,50,http://dbpedia.org/resource/Royal_Bank_of_Canada,high,high,high,high,low
126,Saputo,Food_Processing,Canada,9.7,7.0,0.4,3.7,1296,http://dbpedia.org/resource/Saputo,low,low,mid,mid,high
127,Shaw_Communications,Broadcasting_&_Cable,Canada,10.8,5.1,0.8,12.5,983,http://dbpedia.org/resource/Shaw_Communications,mid,low,mid,mid,mid
128,Shoppers_Drug_Mart,Drug_Retail,Canada,8.5,10.8,0.6,7.5,1033,http://dbpedia.org/resource/Shoppers_Drug_Mart,low,mid,mid,mid,mid
129,Silver_Wheaton,Diversified_Metals_&_Mining,Canada,10.8,0.8,0.6,3.2,1394,http://dbpedia.org/resource/Silver_Wheaton,mid,low,mid,mid,high
130,SNC-Lavalin_Group,Construction_Services,Canada,6.4,7.9,0.3,9.7,1459,http://dbpedia.org/resource/SNC-Lavalin_Group,low,low,mid,mid,high
131,Sun_Life_Financial,Life_&_Health_Insurance,Canada,16.9,17.6,1.6,226.8,277,http://dbpedia.org/resource/Sun_Life_Financial,mid,mid,mid,high,low
132,Suncor_Energy,Oil_&_Gas_Operations,Canada,47.3,38.8,2.8,76.8,142,http://dbpedia.org/resource/Suncor_Energy,high,high,high,mid,low
133,Talisman_Energy,Oil_&_Gas_Operations,Canada,12.7,7.3,0.1,21.9,1043,http://dbpedia.org/resource/Talisman_Energy,mid,low,low,mid,mid
134,Teck_Resources,Diversified_Metals_&_Mining,Canada,17.4,10.4,0.8,34.8,513,http://dbpedia.org/resource/Teck_Resources,mid,mid,mid,mid,low
135,Telus,Telecommunications_services,Canada,22.3,11.0,1.3,20.5,496,http://dbpedia.org/resource/Telus,mid,mid,mid,mid,low
136,Thomson_Reuters,Printing_&_Publishing,Canada,26.7,13.3,2.1,32.6,358,http://dbpedia.org/resource/Thomson_Reuters,mid,mid,mid,mid,low
137,Tim_Hortons,Restaurants,Canada,7.9,3.1,0.4,2.3,1741,http://dbpedia.org/resource/Tim_Hortons,low,low,mid,mid,high
138,TransCanada,Oil_Services_&_Equipment,Canada,33.9,8.0,1.4,48.5,406,http://dbpedia.org/resource/TransCanada,mid,low,mid,mid,low
139,Valeant_Pharmaceuticals,Pharmaceuticals,Canada,21.2,3.5,-0.1,18.0,1258,http://dbpedia.org/resource/Valeant_Pharmaceuticals,mid,low,low,mid,high
140,Yamana_Gold,Diversified_Metals_&_Mining,Canada,11.0,2.3,0.4,11.8,1279,http://dbpedia.org/resource/Yamana_Gold,mid,low,mid,mid,high
141,Randgold_Resources,Diversified_Metals_&_Mining,Channel_Islands,7.7,1.3,0.4,3.1,1705,http://dbpedia.org/resource/Randgold_Resources,low,low,mid,mid,high
142,Resolution,Life_&_Health_Insurance,Channel_Islands,5.7,17.6,-0.1,207.5,835,http://dbpedia.org/resource/Resolution,low,mid,low,high,mid
143,Antarchile,Investment_Services,Chile,7.5,22.8,0.2,22.3,938,http://dbpedia.org/resource/Antarchile,low,mid,mid,mid,mid
144,Cencosud,Food_Retail,Chile,17.4,19.1,0.6,19.7,573,http://dbpedia.org/resource/Cencosud,mid,mid,mid,mid,low
145,Empresas_CMPC,Paper_&_Paper_Products,Chile,8.0,4.8,0.2,14.0,1591,http://dbpedia.org/resource/Empresas_CMPC,low,low,mid,mid,high
146,Falabella,Department_Stores,Chile,26.8,11.5,0.8,17.9,569,http://dbpedia.org/resource/Falabella,mid,mid,mid,mid,low
147,Latam_Airlines,Airline,Chile,11.1,9.7,0.0,20.6,1007,http://dbpedia.org/resource/Latam_Airlines,mid,mid,low,mid,mid
148,Quinenco,Conglomerates,Chile,4.6,4.1,0.2,46.3,1611,http://dbpedia.org/resource/Quinenco,low,low,mid,mid,high
149,SQM,Diversified_Chemicals,Chile,14.8,2.5,0.7,4.4,1252,http://dbpedia.org/resource/SQM,mid,low,mid,mid,high
150,Agricultural_Bank_of_China,Regional_Banks,China,150.8,103.0,23.0,2124.2,8,http://dbpedia.org/resource/Agricultural_Bank_of_China,high,high,high,high,low
151,Aluminum_Corp_of_China,Aluminum,China,8.4,23.7,-1.3,28.7,853,http://dbpedia.org/resource/Aluminum_Corp_of_China,low,mid,low,mid,mid
152,Angang_Steel,Iron_&_Steel,China,4.1,12.3,-0.7,16.2,1436,http://dbpedia.org/resource/Angang_Steel,low,mid,low,mid,high
153,Anhui_Conch_Cement,Construction_Materials,China,15.9,7.2,1.0,14.0,728,http://dbpedia.org/resource/Anhui_Conch_Cement,mid,low,mid,mid,low
154,Baidu,Computer_Services,China,29.7,3.5,1.7,7.3,960,http://dbpedia.org/resource/Baidu,mid,low,mid,mid,mid
155,Bank_of_Beijing,Regional_Banks,China,13.1,6.3,1.4,151.7,488,http://dbpedia.org/resource/Bank_of_Beijing,mid,low,mid,mid,low
156,Bank_of_China,Major_Banks,China,131.7,98.1,22.1,2033.8,11,http://dbpedia.org/resource/Bank_of_China,high,high,high,high,low
157,Bank_of_Communications,Major_Banks,China,56.7,43.5,9.4,846.4,54,http://dbpedia.org/resource/Bank_of_Communications,high,high,high,high,low
158,Bank_of_Ningbo,Regional_Banks,China,4.9,2.4,0.5,41.3,1187,http://dbpedia.org/resource/Bank_of_Ningbo,low,low,mid,mid,high
159,Baoshan_Iron_&_Steel,Iron_&_Steel,China,13.4,35.4,1.2,36.7,370,http://dbpedia.org/resource/Baoshan_Iron_&_Steel,mid,high,mid,mid,low
160,BBMG,Construction_Materials,China,4.4,5.1,0.5,13.3,1513,http://dbpedia.org/resource/BBMG,low,low,mid,mid,high
161,BYD,Auto_&_Truck_Manufacturers,China,8.3,7.4,0.0,11.0,1431,http://dbpedia.org/resource/BYD,low,low,low,mid,high
162,China_Citic_Bank,Regional_Banks,China,32.5,24.4,4.9,474.7,128,http://dbpedia.org/resource/China_Citic_Bank,mid,mid,high,high,low
163,China_Coal_Energy,Diversified_Metals_&_Mining,China,12.2,13.6,1.5,29.5,473,http://dbpedia.org/resource/China_Coal_Energy,mid,mid,mid,mid,low
164,China_Communications_Construction,Construction_Services,China,12.9,45.7,1.9,69.6,280,http://dbpedia.org/resource/China_Communications_Construction,mid,high,mid,mid,low
165,China_Communications_Services,Telecommunications_services,China,4.7,9.8,0.4,7.2,1553,http://dbpedia.org/resource/China_Communications_Services,low,mid,mid,mid,high
166,China_Construction_Bank,Regional_Banks,China,202.0,113.1,30.6,2241.0,2,http://dbpedia.org/resource/China_Construction_Bank,high,high,high,high,low
167,China_Cosco_Holdings,Other_Transportation,China,6.4,14.0,-1.5,26.5,1045,http://dbpedia.org/resource/China_Cosco_Holdings,low,mid,low,mid,mid
168,China_Eastern_Airlines,Airline,China,5.7,13.5,0.5,19.4,868,http://dbpedia.org/resource/China_Eastern_Airlines,low,mid,mid,mid,mid
169,China_Everbright_Bank,Regional_Banks,China,21.0,13.5,2.9,275.1,240,http://dbpedia.org/resource/China_Everbright_Bank,mid,mid,high,high,low
170,China_Life_Insurance,Life_&_Health_Insurance,China,79.9,63.2,1.8,304.6,106,http://dbpedia.org/resource/China_Life_Insurance,high,high,mid,high,low
171,China_Longyuan_Power,Diversified_Utilities,China,7.2,2.7,0.4,17.3,1333,http://dbpedia.org/resource/China_Longyuan_Power,low,low,mid,mid,high
172,China_Merchants_Bank,Major_Banks,China,44.1,28.4,7.3,547.0,101,http://dbpedia.org/resource/China_Merchants_Bank,high,mid,high,high,low
173,China_Merchants_Property,Real_Estate,China,6.1,3.3,0.5,17.5,1312,http://dbpedia.org/resource/China_Merchants_Property,low,low,mid,mid,high
174,China_Minsheng_Banking,Regional_Banks,China,43.9,27.9,6.1,515.5,107,http://dbpedia.org/resource/China_Minsheng_Banking,high,mid,high,high,low
175,China_Oilfield_Services,Oil_Services_&_Equipment,China,11.1,3.5,0.7,12.0,1111,http://dbpedia.org/resource/China_Oilfield_Services,mid,low,mid,mid,mid
176,China_Pacific_Insurance,Life_&_Health_Insurance,China,28.6,27.3,0.8,109.3,278,http://dbpedia.org/resource/China_Pacific_Insurance,mid,mid,mid,mid,low
177,China_Railway_Construction,Construction_Services,China,10.4,74.5,1.3,77.1,316,http://dbpedia.org/resource/China_Railway_Construction,mid,high,mid,mid,low
178,China_Railway_Group,Construction_Services,China,10.2,76.7,1.2,88.4,322,http://dbpedia.org/resource/China_Railway_Group,mid,high,mid,mid,low
179,China_Shenhua_Energy,Diversified_Metals_&_Mining,China,70.8,39.7,7.7,70.2,115,http://dbpedia.org/resource/China_Shenhua_Energy,high,high,high,mid,low
